Pane,Niche overlap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,Carp: Snakehead,Carp: Minnows,Carp: Clupeid,Carp: Catfish,Carp: Tilapia,Carp: Knifefish,Carp: Anabas,Snakehead: Minnows,Snakehead: Clupeid,Snakehead: Catfish,Snakehead: Tilapia,Snakehead: Knifefish,Snakehead: Anabas,Minnows: Clupeid,Minnows: Catfish,Minnows: Tilapia,Minnows: Knifefish,Minnows: Anabas,Minnows: Prawn,Minnows: Insect/Larvae,Clupeid: Catfish,Clupeid: Tilapia,Clupeid: Knifefish,Clupeid: Anabas,Clupeid: Prawn,Clupeid: Insect/Larvae,Catfish: Tilapia,Catfish: Knifefish,Catfish: Anabas,Tilapia: Knifefish,Tilapia: Anabas,Knifefish: Anabas,Prawn: Insect/Larvae
0.252989888,,,,,,,,0.250668079,,,,,,,,0.964355111,0.195583954,0.512968242,,,,,,,,,,,,,,,
0.269067436,,0.876344025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.269334316,,,,,,,,,,,,,,,0.297647148,,,,,,,,,,,,,,,,,,
0.293502361,,,,,,,,,,,,,,,,,,,,,,,,,,0.4356547,,,,,,,
0.332048476,,,,,,,,,,,,,,,,,,,,0.630575001,,,,,,,,,,,,,
0.447035849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545127153
0.511695623,,,,,,,,,0.347624958,,,,,,,,,,,,,0.590136766,0.204835206,0.604916036,,,,,,,,,
0.529644012,,,0.517501056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.529909253,,,,,,,,,,,,,,,,,,,,,0.246570706,,,,,,,,,,,,
0.794451296,,,,,,,,,,,,,,,,,,,,,,,,,0.883602023,,,,,,,,
0.920945406,,,,,,,,,,,,,,,,,,,0.817719996,,,,,,,,,,,,,,
0.947765648,,,,,,,,,,,,,,0.749045432,,,,,,,,,,,,,,,,,,,
0.994071424,,,,,,,,,,0.70439136,,,,,,,,,,,,,,,,,0.28139779,0.500288248,0.689861894,,,,
0.994276047,0.35339579,,,,0.93974632,0.130688101,0.420348197,,,,,,,,,,,,,,,,,,,,,,,,,,
0.999998152,,,,0.286986738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,0.206359074,0.536980569,0.882125378,,,,,,,,,,,,,,,,,0.135087252,0.39382118,0.592861295,
3.40E+38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
